"Year","Month","Var","Value","EPU"
"1992","02","gulf stream index",0.757636482841109,"All"
"1992","03","gulf stream index",0.29020610726855,"All"
"1992","04","gulf stream index",-0.321812205126867,"All"
"1992","05","gulf stream index",0.244277298471274,"All"
"1992","06","gulf stream index",0.538437347568832,"All"
"1992","07","gulf stream index",0.427009741580229,"All"
"1992","08","gulf stream index",0.114935684232978,"All"
"1992","09","gulf stream index",0.37515004048769,"All"
"1992","1","gulf stream index",-0.855799757934647,"All"
"1992","11","gulf stream index",-0.203843138951811,"All"
"1992","12","gulf stream index",0.143728184741158,"All"
"1993","01","gulf stream index",-0.136379761885372,"All"
"1993","02","gulf stream index",1.19296331726372,"All"
"1993","03","gulf stream index",0.990118634677219,"All"
"1993","04","gulf stream index",-0.333866084236973,"All"
"1993","05","gulf stream index",0.777306934460439,"All"
"1993","06","gulf stream index",0.566388024022233,"All"
"1993","07","gulf stream index",0.993174000887137,"All"
"1993","08","gulf stream index",0.958288814088601,"All"
"1993","09","gulf stream index",0.51748808304597,"All"
"1993","1","gulf stream index",0.800213441468534,"All"
"1993","11","gulf stream index",0.0276758925921254,"All"
"1993","12","gulf stream index",0.513751694164369,"All"
"1994","01","gulf stream index",0.435274628375487,"All"
"1994","02","gulf stream index",-0.0803179601102214,"All"
"1994","03","gulf stream index",-0.032113202718918,"All"
"1994","04","gulf stream index",1.17042036576895,"All"
"1994","05","gulf stream index",1.2430636407179,"All"
"1994","06","gulf stream index",0.891315389437715,"All"
"1994","07","gulf stream index",0.659111379147112,"All"
"1994","08","gulf stream index",1.34835379157666,"All"
"1994","09","gulf stream index",1.05677105287839,"All"
"1994","1","gulf stream index",0.634186934771273,"All"
"1994","11","gulf stream index",0.557215489778309,"All"
"1994","12","gulf stream index",1.56810475427985,"All"
"1995","01","gulf stream index",1.02738932050789,"All"
"1995","02","gulf stream index",1.61712071859008,"All"
"1995","03","gulf stream index",1.43136931857471,"All"
"1995","04","gulf stream index",1.45738834348067,"All"
"1995","05","gulf stream index",1.69672595549236,"All"
"1995","06","gulf stream index",1.17687554394788,"All"
"1995","07","gulf stream index",0.940917446077577,"All"
"1995","08","gulf stream index",0.670445601123572,"All"
"1995","09","gulf stream index",0.121200316480732,"All"
"1995","1","gulf stream index",0.708939285158178,"All"
"1995","11","gulf stream index",0.845587479591732,"All"
"1995","12","gulf stream index",0.351828607996748,"All"
"1996","01","gulf stream index",-0.825073750483297,"All"
"1996","02","gulf stream index",-0.245091574963935,"All"
"1996","03","gulf stream index",0.520419873492368,"All"
"1996","04","gulf stream index",0.324065312508147,"All"
"1996","05","gulf stream index",-0.573962849662781,"All"
"1996","06","gulf stream index",-0.446172866012534,"All"
"1996","07","gulf stream index",-0.397852564224114,"All"
"1996","08","gulf stream index",-0.0817826547078865,"All"
"1996","09","gulf stream index",-0.464469477229556,"All"
"1996","1","gulf stream index",-0.861033624965973,"All"
"1996","11","gulf stream index",-0.744212076879011,"All"
"1996","12","gulf stream index",-1.94018772385763,"All"
"1997","01","gulf stream index",-0.246258603921922,"All"
"1997","02","gulf stream index",-0.610766593667407,"All"
"1997","03","gulf stream index",-0.705641808759592,"All"
"1997","04","gulf stream index",0.202016760180012,"All"
"1997","05","gulf stream index",-0.350813383219135,"All"
"1997","06","gulf stream index",-0.637001684666386,"All"
"1997","07","gulf stream index",-0.62663245965654,"All"
"1997","08","gulf stream index",-0.13263654719128,"All"
"1997","09","gulf stream index",0.433374293560753,"All"
"1997","1","gulf stream index",-1.22286365417806,"All"
"1997","11","gulf stream index",-0.901456379347471,"All"
"1997","12","gulf stream index",-0.431025510461058,"All"
"1998","01","gulf stream index",-0.489314868536517,"All"
"1998","02","gulf stream index",-1.53158589121164,"All"
"1998","03","gulf stream index",-1.35934742677304,"All"
"1998","04","gulf stream index",-1.28504772836913,"All"
"1998","05","gulf stream index",-0.140255339781022,"All"
"1998","06","gulf stream index",-0.513904721951146,"All"
"1998","07","gulf stream index",-0.303865550138136,"All"
"1998","08","gulf stream index",-0.0446662675519908,"All"
"1998","09","gulf stream index",0.00251778430757627,"All"
"1998","1","gulf stream index",0.186099793503378,"All"
"1998","11","gulf stream index",0.438829592303123,"All"
"1998","12","gulf stream index",1.5105649660694,"All"
"1999","01","gulf stream index",1.1231820157742,"All"
